Ticker,0981.HK,GFS,INTC,SMSN.IL,TSM,UMC,2454.TW,ALAB,AMD,ARM,AVGO,MRVL,NVDA,QCOM,000660.KS,MU,6857.T,6920.T,8035.T,AMAT,ASML,CDNS,KLAC,LRCX,SNPS,TER,042700.KS,3711.TW,AMKR,ADI,IFX.DE,MCHP,NXPI,ON,STNE,TXN
0981.HK,1.0,0.12710479955135526,0.1312692003914117,0.21576303901361624,0.18670781379882553,0.12900021042695725,0.1718881482948374,0.09756750860176092,0.1425202015877705,0.1580119707206242,0.14302466792575544,0.13605654116227006,0.15823564303634985,0.13062091321663907,0.21385310392710702,0.1784022015102192,0.1960610252202996,0.18200327954634182,0.20681800436099831,0.17194925585423593,0.17636894806182005,0.1514921076344548,0.16820971809680013,0.1719265976391305,0.13720191163768555,0.1675028978664082,0.17878038492001747,0.1740270700514487,0.16082871127464327,0.13515592748264038,0.19051962742572456,0.13674352519387203,0.1385923374165923,0.1339519902384558,0.11512500190651595,0.12126369434364413
GFS,0.12710479955135523,0.9999999999999998,0.4192701858233443,0.23518359406065895,0.48817040554832575,0.4532148197252672,-0.0521531218455806,0.3814215700417619,0.4864048935587834,0.476333672702974,0.46636416702878636,0.46069827499051186,0.47338490195331245,0.5121034962735213,0.024968987178449843,0.4810953654835011,-0.02393080616171166,-0.03262546667735851,-0.007270046986812742,0.5286965258777304,0.5156973342324934,0.47052193644099005,0.5318221901759148,0.5342780319423287,0.40759887640503384,0.497726699771681,0.02721365875994965,-0.0681049481809877,0.5038806458186815,0.5194684563283476,0.29700176575171977,0.5122199823118088,0.5258020527340259,0.5048496391288487,0.31336055923161615,0.48970424418862823
INTC,0.13126920039141177,0.4192701858233444,1.0000000000000002,0.2431649302054655,0.4341779117593766,0.3911088929366365,0.005446128610350083,0.32618229222300893,0.4208512518847024,0.4171203027198436,0.40523430047146747,0.3988978710018163,0.4148628195175219,0.43783692676558145,0.07740720618190924,0.4263724353762548,0.034161779039553794,0.02352903694472132,0.05016454782999751,0.46204639928897073,0.4530223677565199,0.41079034507483936,0.4634929954156243,0.4664276864593582,0.35746792110563724,0.4365008577937524,0.0696955119443257,-0.006515087888707574,0.43953497076579895,0.4448515367639728,0.2849374305690091,0.4395827338249686,0.4507586040107343,0.43303495542553555,0.2774259093285265,0.4177015426288369
SMSN.IL,0.21576303901361626,0.23518359406065895,0.2431649302054655,1.0000000000000002,0.34620534810105835,0.23883038747645413,0.3203262090926713,0.18051274211357646,0.26390689452833266,0.2927940829997315,0.264910461715538,0.25194966947761593,0.29322010513480745,0.24166121681673045,0.3982442845121982,0.3307578443206973,0.3652606901273585,0.3391043992506165,0.3852435372748709,0.31858666805830277,0.32686028830176417,0.2806686944821697,0.31161141139467285,0.3185266554157424,0.2542524709696441,0.31040367521285156,0.33291048502225473,0.3243610750765608,0.2979526630988352,0.25008465913549516,0.353915228943815,0.2530648555171931,0.2564651258969603,0.24788884442472442,0.2134325920162097,0.22430388099722792
TSM,0.1867078137988255,0.4881704055483257,0.4341779117593766,0.3462053481010583,1.0,0.46001425953951747,0.08194062698635282,0.37920016701459336,0.4966441672764662,0.4996820256591176,0.4807873157965694,0.47116822201913383,0.4974568096964838,0.5088501483067623,0.17467536771207917,0.5182639747011398,0.12224409844495725,0.10505267983663774,0.14349925218089038,0.5521320404735235,0.5448026493094305,0.4902686625227187,0.5519609424381062,0.5566334183047891,0.42901617268726994,0.5238530749951437,0.15115936549244652,0.07057394448519871,0.5240134239021318,0.5180870635677526,0.3780085783117556,0.5133667689733155,0.5256956626344671,0.5053848038753599,0.3367923969230445,0.48396122421694465
UMC,0.12900021042695725,0.4532148197252672,0.39110889293663637,0.2388303874764541,0.4600142595395174,1.0,-0.022901873131828624,0.35281313720555013,0.4523980373293764,0.4455539259774957,0.43463077085714097,0.42863487068622097,0.4429601140067996,0.47364199833231346,0.05147777668432953,0.45258124593102195,0.005522908110326323,-0.004138468388179518,0.02182257642143525,0.49406358324668875,0.48309890104695336,0.4394895471811804,0.49633385650759365,0.49902803272301643,0.3815330106624608,0.46589212283035664,0.048677551515943274,-0.03680641673029119,0.4704561084173088,0.48081721924486254,0.290395330796994,0.47458325111676386,0.4869242346167827,0.46764174909198025,0.2946406152414971,0.45242655107630236
2454.TW,0.1718881482948374,-0.05215312184558058,0.005446128610350071,0.3203262090926713,0.08194062698635282,-0.022901873131828628,1.0,-0.04382434358785701,-0.015487051334312364,0.026002716863106432,-0.0006147877574059541,-0.01228322640675022,0.02852460864373008,-0.05967643018342971,0.4602512716307867,0.06825311048824138,0.45407547124530867,0.4286585581449827,0.4666601473437748,0.02119822728470751,0.03998046286937727,0.015434959772582968,0.01070664274891146,0.01731923053691712,0.02669502128909155,0.03251530806712211,0.38041986236604697,0.43518928189927264,0.01339566383865274,-0.054604764334787524,0.2215743330757594,-0.046089008765263624,-0.05127805564759196,-0.04726506642936678,0.04205252406474273,-0.06520036747200886
ALAB,0.09756750860176092,0.3814215700417619,0.32618229222300893,0.18051274211357646,0.3792001670145934,0.35281313720555013,-0.04382434358785701,0.9999999999999999,0.3785802013718202,0.3704230366067365,0.3628719183884833,0.35855369053146097,0.3681091560152881,0.39891755542802626,0.0158671082764814,0.3738011340700822,-0.022132910512781857,-0.02870138946788821,-0.009266919433986859,0.41120252987276945,0.40094285311122196,0.3659828154354061,0.41371570387825185,0.4155753799567991,0.3169367268646431,0.38701807179032427,0.018231242062929916,-0.05635767690057575,0.39195423174193705,0.40460882397262166,0.22937601330410817,0.39890307294768995,0.40951111200405205,0.39317747797755265,0.24349326225834594,0.3815319512424697
AMD,0.1425202015877705,0.4864048935587835,0.42085125188470235,0.26390689452833266,0.4966441672764662,0.45239803732937645,-0.015487051334312354,0.3785802013718202,0.9999999999999998,0.47986846473808104,0.4675373865044632,0.46083283205015774,0.4771331979620382,0.5082151809687938,0.06541574560876214,0.48834960906555636,0.015845434586412677,0.00489789232707188,0.03365417523336546,0.5319475705725615,0.5205620703669441,0.4731142527716345,0.5341609595869987,0.5372034319733194,0.41101354505014676,0.5018891790557675,0.060662156889335406,-0.030101961501251495,0.5063818183317773,0.516044493327295,0.31722353897592054,0.5095240928451324,0.5226866309041575,0.5020311720920366,0.3178746764663773,0.4852723354315838
ARM,0.1580119707206242,0.476333672702974,0.41712030271984357,0.2927940829997315,0.4996820256591176,0.44555392597749566,0.026002716863106432,0.3704230366067365,0.47986846473808104,1.0000000000000002,0.4627358116200905,0.45494949575183447,0.47510556453382136,0.4971814878177404,0.11010320239525016,0.4901228796839836,0.06042702046920547,0.04708603817049949,0.07929520342917579,0.5286421957557631,0.5192228536145153,0.46983758613364107,0.529799353368268,0.5334625444235797,0.40947611048792915,0.5000037341168173,0.0975316398094084,0.013084599387681105,0.5025668648970875,0.5054311440384088,0.33583957498415,0.4998159615636944,0.5123337247411436,0.4922831390349659,0.3187949528803697,0.4739269905634097
